Symbol,Current_price,Future_price,Forward_Return
MMM,140.7372589111328,166.5,0.18305558377497477
AOS,67.75374603271484,65.98999786376953,-0.026031743958388486
ABT,131.64111328125,123.62000274658203,-0.060931652237936805
ABBV,195.36209106445312,218.0399932861328,0.11608138558569113
ACN,303.8105163574219,250.10000610351562,-0.17678950320046793
ADBE,380.8699951171875,340.30999755859375,-0.10649302407272618
AMD,98.80000305175781,256.1199951171875,1.5923075628147028
AES,9.9176664352417,13.869999885559082,0.3985144566138115
AFL,104.38101196289062,107.19000244140625,0.026910933566291474
A,108.1844711303711,146.36000061035156,0.352874392055546
APD,274.047607421875,242.58999633789062,-0.11478885504575059
ABNB,125.26000213623047,126.54000091552734,0.010218735090749654
AKAM,82.54000091552734,75.0999984741211,-0.090138143432061
ALB,59.58583450317383,98.2300033569336,0.6485462388162306
ARE,71.98674011230469,58.220001220703125,-0.19123992654931202
ALGN,179.82000732421875,137.8800048828125,-0.23323323731039372
ALLE,140.41168212890625,165.77000427246094,0.18059980308671356
LNT,60.23988723754883,66.81999969482422,0.10923181896618597
ALL,197.36871337890625,191.52000427246094,-0.029633415582017937
GOOGL,163.68527221679688,281.19000244140625,0.7178699013859807
GOOG,165.46304321289062,281.82000732421875,0.7032202590497452
MO,57.66154098510742,56.380001068115234,-0.02222521103491109
AMZN,189.97999572753906,244.22000122070312,0.2855037725706273
AMCR,9.190047264099121,7.900000095367432,-0.14037437802646055
AEE,98.0425796508789,102.0199966430664,0.0405682613243219
AEP,105.86507415771484,120.26000213623047,0.13597428701623032
AXP,275.454833984375,360.7300109863281,0.3095795262274842
AIG,82.73506164550781,78.95999908447266,-0.04562832837678954
AMT,219.91534423828125,178.97999572753906,-0.1861413929643226
AWK,145.3995361328125,128.42999267578125,-0.11670974962073288
AMP,481.3394775390625,452.7699890136719,-0.0593541354045121
AME,169.4999542236328,202.11000061035156,0.19238970615705359
AMGN,276.5133361816406,298.42999267578125,0.07926075753447079
APH,80.40605926513672,139.33999633789062,0.7329539292358664
ADI,196.91116333007812,234.1300048828125,0.1890133648255645
AON,355.5038757324219,340.67999267578125,-0.04169823191406825
APA,16.058971405029297,22.649999618530273,0.4104265489529933
APO,134.39700317382812,124.30999755859375,-0.07505379864897667
AAPL,204.8485870361328,270.3699951171875,0.31985286805760343
AMAT,154.21823120117188,233.10000610351562,0.511494486014727
APTV,58.970001220703125,81.0999984741211,0.3752755095017463
ACGL,92.4800033569336,86.30999755859375,-0.0667171883042244
ADM,46.960628509521484,60.529998779296875,0.28895205836148763
ANET,91.0199966430664,157.69000244140625,0.7324764695365272
AJG,329.7087097167969,249.49000549316406,-0.24330174441717548
AIZ,195.51722717285156,211.72000122070312,0.08287133713044693
T,27.04567527770996,24.75,-0.08488141834646558
ATO,159.77598571777344,171.72000122070312,0.07475476023053594
ADSK,279.989990234375,301.3399963378906,0.07625274777017524
ADP,300.4999084472656,260.29998779296875,-0.13377681498146451
AZO,3756.330078125,3674.429931640625,-0.0218032347480113
AVB,208.48092651367188,173.9199981689453,-0.16577501319987709
AVY,169.57632446289062,174.88999938964844,0.03133500471594804
AXON,628.1599731445312,732.22998046875,0.16567436922676004
BKR,36.67399215698242,48.40999984741211,0.3200090036610658
BALL,51.27162551879883,47.0,-0.0833136354772413
BAC,40.603546142578125,53.45000076293945,0.31638750406802874
BAX,30.327165603637695,18.469999313354492,-0.3909750896358397
BDX,166.86109924316406,178.7100067138672,0.07101060417584747
BBY,66.28218078613281,82.13999938964844,0.23924708595033597
TECH,50.332584381103516,62.56999969482422,0.24313107431684008
BIIB,123.52999877929688,154.27000427246094,0.2488464809919189
BLK,919.9616088867188,1082.81005859375,0.17701657127203435
BX,136.58934020996094,146.63999938964844,0.07358304216301166
XYZ,46.529998779296875,75.94000244140625,0.6320654294793385
BK,81.30353546142578,107.93000030517578,0.3274945510381015
BA,185.4600067138672,201.02000427246094,0.08389947695084549
BKNG,5184.9072265625,5077.740234375,-0.020669027912105918
BSX,104.93000030517578,100.72000122070312,-0.04012197724414753
BMY,49.23503494262695,46.06999969482422,-0.06428420841969372
AVGO,202.8143310546875,369.6300048828125,0.8225043711686444
BR,231.15554809570312,220.39999389648438,-0.046529509189049315
BRO,110.2462158203125,79.73999786376953,-0.2767098873149921
BLDR,114.12999725341797,116.16999816894531,0.017874362259009426
BG,77.84772491455078,94.5999984741211,0.21519284703513653
BXP,63.52518844604492,71.19000244140625,0.1206578710407358
CHRW,89.802734375,153.99000549316406,0.7147585378651123
CDNS,308.1499938964844,338.69000244140625,0.09910760717126953
CZR,27.799999237060547,20.100000381469727,-0.27697838370174666
CPT,118.57425689697266,99.4800033569336,-0.16103203207615094
CPB,34.99029541015625,30.1299991607666,-0.1389041216262182
COF,186.72418212890625,219.99000549316406,0.17815487520139484
CAH,148.58984375,190.77000427246094,0.2838697414167039
KMX,66.70999908447266,41.90999984741211,-0.37175835073325564
CCL,19.56999969482422,28.829999923706055,0.4731732433971819
CARR,71.04679107666016,59.4900016784668,-0.16266448101397676
CAT,321.57470703125,577.260009765625,0.7951038969912767
CBOE,225.76235961914062,245.63999938964844,0.08804673996161821
CBRE,126.56999969482422,152.42999267578125,0.20431376347719557
CDW,165.63917541503906,159.3699951171875,-0.037848415280642346
COR,291.0143737792969,337.80999755859375,0.1608017609975043
CNC,60.15999984741211,35.369998931884766,-0.41206783541229897
CNP,38.53398513793945,38.2400016784668,-0.007629199482490291
CF,79.66136932373047,83.29000091552734,0.04555070572601789
CRL,118.45999908447266,180.07000732421875,0.5200912435919622
