Symbol,Predicted_Score
GOOG,0.5598260217453048
GOOGL,0.5425584707873758
APH,0.46481441963054804
AMD,0.4227333590872569
AMAT,0.4156196869351511
APA,0.38541918260857116
APTV,0.3296691414803428
AAPL,0.32754508787114667
AES,0.3040172241948205
AMZN,0.26516326089320663
